ido_tdo
AA
II
AI
II
II
IA
II
II
II
IA
II
AI
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
II
AI
II
II
II
II
II
II
II
IA
IA
II
AA
IA
II
II
AI
IA
AI
IA
II
II
IA
II
II
IA
IA
IA
IA
AA
IA
AA
IA
IA
IA
IA
IA
IA
IA
II
AI
II
II
II
AI
AI
AI
AI
AI
AI
AI
AI
AI
AI
AI
II
AI
AA
AI
II
AI
AI
AI
AI
AI
AI
AI
AI
II
AI
AI
II
AI
AA
AA
AA
AA
AA
AA
AA
AA
II
AA
AA
IA
AA
AI
II
AA
AA
AI
II
AA
IA
AI
II
II
AI
AA
AI
AA
AA
AA
AA
AI
II
AI
AA
AA
AA
AI
AA
II
AI
AA
AA
AI
AA
IA
AA
AA
AA
AI
AA
AA
AI
AI
II
AA
AA
II
AA
AA
II
AA
AI
IA
AI
AA
AA
AA
AA
IA
IA
AI
AA
AI
AA
II
AA
AA
AA
AA
AA
II
AA
AA
AI
AI
IA
AA
AA
AA
AI
AA
AA
II
AI
AI
IA
AA
II
II
AA
AA
II
AA
II
AA
II
II
II
AA
AA
AA
AI
AI
AI
AI
AA
IA
AA
II
AA
AA
AA
AI
AI
AI
AA
AI
AA
AA
AA
II
AA
II
II
II
IA
IA
AA
AI
AA
IA
II
AA
AA
AI
AA
AA
AA
II
II
AA
AA
II
II
AI
IA
II
AA
II
AA
IA
AA
AI
II
AI
AA
AA
II
II
AA
AA
IA
AI
AA
II
AA
II
II
AA
II
II
AI
AI
II
II
AA
AI
AA
AA
AI
II
II
AI
IA
AA
AA
AI
AA
II
AA
II
II
II
IA
AA
II
AI
AA
II
AA
AI
IA
II
AI
AI
IA
AI
AA
AI
AA
IA
AA
AA
II
AA
II
AI
II
IA
II
AA
AI
AI
II
II
AA
AA
IA
IA
AA
II
AA
AI
AI
II
II
II
AA
AI
AA
IA
II
AA
II
II
AA
II
AA
AA
AA
AI
AA
AI
AA
AA
AA
II
AA
II
AA
AI
AA
AA
II
IA
AA
IA
AA
II
AI
II
AA
II
II
II
II
AA
AA
II
AA
II
AA
AI
AA
II
IA
II
II
II
AA
AA
II
AA
II
II
AA
II
AA
AA
IA
II
IA
II
AA
AA
IA
IA
AI
II
AI
AI
II
II
AA
II
AA
AA
II
IA
IA
IA
II
II
II
AA
IA
AI
AA
II
II
AA
AA
AA
II
IA
II
AA
II
II
AI
AI
II
AA
AA
AA
II
II
AI
IA
II
AA
AA
II
II
II
AI
IA
AA
AA
IA
IA
AA
AA
II
AI
AA
AA
AI
AI
AI
II
II
AI
AI
AI
II
II
AI
AI
AI
II
AA
AI
AI
AA
AI
AI
AA
II
AI
AI
AA
II
II
AA
AI
AI
AA
II
AI
AI
AI
II
AA
AI
II
AI
II
II
AA
AI
II
AA
AA
AI
AI
II
AI
AI
II
AA
AA
AI
II
AI
AI
AI
AI
AI
II
II
AA
II
II
AI
II
AI
II
II
AA
II
II
AA
II
AI
AI
II
AI
AA
II
AA
II
II
AI
AI
AI
AA
II
AI
AA
AI
II
AI
AI
AI
II
AI
AI
AA
AI
AI
II
AI
AI
AI
AI
AA
AA
AI
II
II
AA
II
AA
AA
AI
AI
II
II
II
II
AI
AA
AI
AI
II
AI
II
AI
AI
AI
AI
AI
AA
II
II
AI
AI
AI
AI
AI
AI
II
II
II
II
II
II
AA
AA
II
II
II
IA
AA
II
II
II
II
II
II
AA
II
II
II
II
II
II
II
II
II
II
II
II
IA
II
II
II
II
II
II
II
IA
II
II
IA
II
IA
II
IA
II
II
II
II
II
II
II
II
II
II
AA
AA
II
II
II
II
II
II
IA
IA
II
II
IA
II
II
IA
II
II
IA
II
II
II
II
II
AA
II
AA
II
II
IA
II
II
II
AA
AA
II
IA
II
IA
II
AA
AA
II
AA
IA
II
II
IA
II
IA
II
II
II
IA
II
II
II
II
II
IA
AI
AA
