ido_ic50,tdo_ic50
0,7.638272163982407,7.221848749616356
1,5.0,5.0
2,6.73754891026957,3.6493643917410457
3,4.928486194904911,4.911863911299449
4,4.835349784065703,4.519561852822183
5,4.339798798619318,4.421704694879174
6,6.092105164583717,6.251037138743839
7,5.359518563029578,4.0
8,5.336110701377339,5.758204568704802
9,4.355659901173677,4.313810765755976
10,6.052566278112949,6.066512712151295
11,5.82102305270683,4.329661358872558
12,6.200659450546418,4.2726214305485115
13,4.0,4.936291440608582
14,5.0,5.0
15,5.0,5.008773924307505
16,4.62397081827182,4.472112434047295
17,3.8297382846050425,4.0
18,4.0,4.0
19,4.0,4.0
20,3.844663962534938,4.0
21,4.657577319177793,4.0
22,4.0,4.0
23,5.0,5.0
24,5.554395796726403,4.0
25,4.0,4.0
26,4.0,4.0
27,4.569119053547109,4.753255290276159
28,5.552841968657781,4.0
29,5.920818753952375,4.0
30,5.552841968657781,4.0
31,5.221848749616356,4.0
32,5.958607314841775,4.0
33,4.823908740944319,4.0
34,4.0,4.0
35,5.5376020021010435,4.0
36,5.154901959985743,4.0
37,4.823908740944319,4.0
38,4.823908740944319,4.0
39,4.0,4.0
40,4.154901959985743,4.0
41,4.0,4.0
42,4.0,4.0
43,6.958607314841775,4.0
44,4.853871964321762,4.0
45,4.468521082957745,4.0
46,4.0,4.0
47,4.953895212753961,4.644548479873483
48,5.452225294612178,5.939302159646388
49,4.045757490560675,5.920818753952375
50,5.075204004202088,4.0
51,3.302160631781637,6.853871964321762
52,3.063285241788796,6.617982957425132
53,5.565431095965801,5.826813731587726
54,7.567030709125595,6.6439741428068775
55,3.9164973801697327,6.735182176990463
56,5.856985199745905,4.946537395074545
57,5.522878745280337,4.204119982655925
58,8.0,4.805430160771357
59,3.4559319556497243,6.958607314841775
60,6.896196279044043,5.474955192963154
61,6.115204636051019,6.148130399270234
62,5.587203571283457,5.131943638176958
63,5.752026733638194,5.963371104637839
64,5.499900808084277,6.114638779968488
65,5.0,5.799696817018415
66,5.0,5.189767482004916
67,5.905878404159439,6.777283528852417
68,5.633950790199765,6.505845405981557
69,6.0101054362812265,7.045757490560675
70,5.714892970433188,6.7423214251308154
71,6.220403508742176,7.229147988357855
72,6.028724151261895,7.318758762624412
73,6.1938200260161125,7.522878745280337
74,5.959793372425289,6.7544873321858505
75,6.00788851221305,6.935542010773082
76,5.684239509334265,6.966576244513051
77,5.797784224198868,6.679853713888946
78,6.035363296211498,6.838631997765025
79,6.0,6.0
80,6.0,6.0
81,4.0,4.0
82,6.698970004336019,5.698970004336019
83,5.0,5.0
84,5.698970004336019,4.0
85,4.301029995663981,4.964970717797632
86,6.3585258894959,5.522878745280337
87,6.585026652029182,5.522878745280337
88,6.325138859262188,5.522878745280337
89,6.422508200162775,5.522878745280337
90,6.319664486585436,5.522878745280337
91,6.401209493236885,5.522878745280337
92,6.355561410532162,5.522878745280337
93,6.82102305270683,5.522878745280337
94,6.621602099051862,5.522878745280337
95,6.3872161432802645,5.522878745280337
96,6.528708288941061,5.522878745280337
97,5.275724130399211,5.732828271596986
98,6.462180904926726,5.522878745280337
99,7.886056647693163,6.853871964321762
100,9.920818753952375,5.0
101,5.764471553092451,5.361510743045363
102,7.471083299722345,4.2644011003018205
103,9.301029995663981,5.0
104,6.94692155651658,4.075720713938118
105,6.872895201635193,4.0
106,6.4089353929735005,4.0
107,6.442492798094342,5.136677139879544
108,6.8297382846050425,4.380906669373257
109,7.638272163982407,5.920818753952375
110,5.9083330424043154,5.145693958198919
111,6.924453038607469,4.0
112,6.369572124974976,4.0
113,6.0,5.698970004336019
114,6.698970004336019,5.698970004336019
115,6.698970004336019,6.301029995663981
116,6.698970004336019,6.301029995663981
117,6.698970004336019,6.301029995663981
118,6.698970004336019,6.301029995663981
119,6.698970004336019,6.301029995663981
120,6.698970004336019,6.301029995663981
121,6.698970004336019,6.301029995663981
122,6.698970004336019,6.301029995663981
123,6.0,5.698970004336019
124,6.698970004336019,6.301029995663981
125,6.698970004336019,6.301029995663981
126,6.0,6.301029995663981
127,6.698970004336019,6.301029995663981
128,6.698970004336019,5.698970004336019
129,4.0,4.0
130,6.698970004336019,6.301029995663981
131,6.698970004336019,6.301029995663981
132,6.698970004336019,5.698970004336019
133,6.0,5.698970004336019
134,6.698970004336019,6.301029995663981
135,6.0,6.301029995663981
136,6.698970004336019,5.698970004336019
137,6.0,5.698970004336019
